SpectraSuite Data File			
++++++++++++++++++++++++++++++++++++			
Date: Wed Mar 11 14:48:38 CET 2026			
User: User			
Dark Spectrum Present: No			
Reference Spectrum Present: No			
Number of Sampled Component Spectra: 1			
Spectrometers: USB2G10323			
Integration Time (usec): 20000 (USB2G10323)			
Spectra Averaged: 1 (USB2G10323)			
Boxcar Smoothing: 0 (USB2G10323)			
Correct for Electrical Dark: No (USB2G10323)			
Strobe/Lamp Enabled: No (USB2G10323)			
Correct for Detector Non-linearity: No (USB2G10323)			
Correct for Stray Light: No (USB2G10323)			
Number of Pixels in Processed Spectrum: 2048			
>>>>>Begin Processed Spectral Data<<<<<			
339,75	0	0	0
340,13	201	199	99,5
340,51	205	203	101,5
340,89	204	204	102
341,27	205	203	101,5
341,65	209	208	104
342,03	206	203	101,5
342,4	208	205	102,5
342,78	209	206	103
343,16	205	208	104
343,54	207	207	103,5
343,92	209	207	103,5
344,3	210	201	100,5
344,67	207	209	104,5
345,05	207	214	107
345,43	208	206	103
345,81	214	206	103
346,19	208	209	104,5
346,56	206	209	104,5
346,94	205	205	102,5
347,32	203	211	105,5
347,7	208	208	104
348,08	206	208	104
348,45	210	209	104,5
348,83	211	205	102,5
349,21	213	205	102,5
349,59	215	208	104
349,96	206	208	104
350,34	210	207	103,5
350,72	212	208	104
351,1	214	210	105
351,48	210	213	106,5
351,85	210	209	104,5
352,23	212	206	103
352,61	212	207	103,5
352,98	210	209	104,5
353,36	208	210	105
353,74	212	213	106,5
354,12	212	213	106,5
354,49	217	210	105
354,87	212	213	106,5
355,25	210	209	104,5
355,63	210	206	103
356	215	215	107,5
356,38	213	208	104
356,76	219	215	107,5
357,13	216	213	106,5
357,51	208	212	106
357,89	211	209	104,5
358,26	210	208	104
358,64	208	209	104,5
359,02	215	206	103
359,4	216	210	105
359,77	214	212	106
360,15	213	207	103,5
360,53	212	211	105,5
360,9	214	205	102,5
361,28	214	212	106
361,65	217	209	104,5
362,03	216	212	106
362,41	216	210	105
362,78	215	209	104,5
363,16	213	207	103,5
363,54	215	210	105
363,91	216	210	105
364,29	215	211	105,5
364,67	218	209	104,5
365,04	216	213	106,5
365,42	214	215	107,5
365,79	218	209	104,5
366,17	217	211	105,5
366,55	214	211	105,5
366,92	218	210	105
367,3	217	211	105,5
367,67	213	212	106
368,05	215	207	103,5
368,43	211	211	105,5
368,8	208	209	104,5
